Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
DB,302001,70,76,19,71.5,77.7,20.5,57.01,17.45,23,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,none,1,1,1,1,1,31,3,2,3
DB,302004,50,50,15,57.4,58,17.5,27.01,9.96,20,m,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,,,,,,,,,24,2,3,3
DB,302006,54,58,17,58.9,58.9,18.4,28.45,9.05,20,m,none,1,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,1,2,2,2,2,3,,,,,,,,,23,3,#DIV/0!,0
DB,302014,61,63,14,64,62.2,16.2,41.53,11.55,22,m,none,none,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,,,,,,,,,22,2,#DIV/0!,0
DB,302018,58,64,16,61.5,65.5,18.3,37.59,13.69,21,m,2,2,3,2,2,3,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
DB,302019,54,56,15,65.6,68,18,34.97,12.53,22,f,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,25,3,4,4
DB,302021,56,55,16,59,55.7,16.9,28.2,10.34,20,m,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,3,3,none,1,2,2,none,2,2,1,30,2,1.5,2
DB,302022,52,56,14,51.3,53.7,16,19.11,7.64,21,f,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,28,1,1,1
DB,302024,58,56,16,65.2,63.5,19,35.14,13.4,22,m,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,none,2,2,2,31,5,3.5,5
DB,302025,41,39,12,43.1,41.3,13.5,11.12,3.96,13,m,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,2,2,2,2,3,,,,,,,,,23,2,2,2
DB,302067,54,52,17,60.7,60.5,19.1,32.99,12.5,20,m,1,1,1,5,5,1,5,5,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,2,,,,,,,,25,5,1,1
DB,302029,55,56,17,60.7,60.4,18.5,32.75,10.82,21,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
DB,302030,65,70,18,67.7,73.3,19.6,42.47,14.95,22,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,none,none,3,3,3,2,,,28,2,2,2
DB,302038,57,63,15,66.5,73.1,16.9,36.29,14.34,19,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,,,,,,,,,24,2,2,2
DB,302043,57,57,15,62.4,65.2,16.3,32.59,12.76,20,m,2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,2,2,2,2,3,2,2,2,,,,,,,,,24,2,2,2
DB,302044,53,54,14,59,59.5,16.9,27.51,9.57,19,m,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,,,,,,,,,24,2,3,3
DB,302045,58,54,17,66,67,18.8,36.8,13.04,20,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
DB,302047,52,55,15,53,53.1,16,21.35,8.63,16,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,,,,,,,,,24,3,3,3
DB,302050,62,57,18,62.2,56.2,19.6,37.48,12.85,20,m,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,3,,,,29,2,2,2
DB,303001,51,51,14,52.7,53.2,15.5,20.23,6.73,14,m,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,,,,,,,,,24,2,2,2
DB,303002,48,49,16,52.7,55,17.2,22.06,7.69,16,m,2,2,2,2,3,2,2,2,,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2,,,,,,,,,23,2,2,2
DB,303003,59,61,17,62,60.2,18.2,29.86,10.34,17,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,,,,,,,,,24,2,2,2
DB,303006,60,59,15,62.4,59.5,16.7,28.31,10.16,18,m,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,,,,,,,,,24,2,3,3
DB,303008,48,49,13,50.7,52.5,14.8,17.94,6.42,13,m,2,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,3,2,3,2,2,2,2,2,2,1,2,,31,3,2,2
DB,303009,69,71,19,70.4,69.3,20.2,43.15,14.81,22,m,1,2,1,1,2,2,1,none,1,2,,1,1,2,1,1,2,1,1,2,2,1,1,2,,,,,,,,,22,1,1,1
DB,303011,53,52,16,59,57.6,16.2,24.75,9.01,17,m,1,2,1,1,none,none,2,2,2,2,2,2,3,2,2,none,2,2,3,3,3,3,2,3,,,,,,,,,21,2,1,1
DB,303012,67,67,20,68.9,72.8,21.5,49.96,15.26,22,m,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,,,,,,,,,24,2,2,2
DB,303014,63,67,19,63.3,64.7,20,41.33,12.66,21,m,3,2,3,3,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,2,2.5,3
DB,303015,69,68,19,70.6,70.6,19.9,46.7,13.26,22,m,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
DB,303016,40,42,14,44.8,45.5,16.4,15.35,6.03,13,m,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,2,2,2,3,3,3,2,3,3,,,,,,,,,24,3,3,3
